product_name,alert_date,classification,stated_nafdac_number,batch_number,manufacturer,alert_reference
CIPROFIT 500,2025-09-19,Confirmed falsified,,,"Impact Pharmaceutical Ltd","Public Alert No. 030B/2025"
ARTEMETRIN DS Tablets,2025-09-19,Confirmed substandard,,,A.C. DRUGS Ltd,"Public Alert No. 030A/2025"
Postinor2 (Levonorgestrel 0.75mg),2025-08-22,Confirmed counterfeit,,,,"Public Alert No. 027/2025"
Amoxivue (Amoxicillin) 500mg Capsules,2025-08-06,Recall - low API content,,,Sparsh Bio-Tech Pvt Ltd,"Public Alert No. 024/2025"
Aflotin 20/120 Artemether/Lumefantrine Tablets,2025-04-07,Counterfeit,,,Ajanta Pharma Limited,"Public Alert No. 08/2025"
Noristerat Injection 200mg,2025-03-11,Counterfeit,,,, "Public Alert No. 06/2025"
Cikatem (Artemether 180mg/Lumefantrine 1080mg),2025-03-11,Falsified,A11-100025,,Michelle Laboratories,"Public Alert No. 05/2025"
COMBIART (Artemether + Lumefantrine 20/120mg),2024-11-21,Counterfeit,,,Strides Arcolab Limited,"Public Alert No. 043/2024"
Falsified Mislabelled Paracetamol Injection,2024-02-15,Falsified,,,Sifam Life Care Pharmaceutical Ltd,"Public Alert No. 10/2024"
ZACEF-TZ Injection (Ceftriaxone Sodium + Tazobactam Sodium),2024-02-08,Unregistered/Falsified,A-46344,C-2308-02A,JioPharm International / JAC Pharmaceuticals Ltd,"Public Alert No. 09/2024"
