drug_name,nafdac_number,batch_number,manufacturer,barcode,status
Safe-Tax Injection 1 g Powder for injection,A4-3453,,,,"Listed in NAFDAC Greenbook"
Theorica-75 Capsule,B4-8537,,,,"Listed in NAFDAC Greenbook"
Amlodipine Besylate USP 10 mg Tablet,C4-1770,,,,"Listed in NAFDAC Greenbook"
Amlodipine Besylate USP 5 mg Tablet,C4-1769,,,,"Listed in NAFDAC Greenbook"
Atorvastatin Calcium 10 mg Tablet,C4-1772,,,,"Listed in NAFDAC Greenbook"
Atorvastatin Calcium 20 mg Tablet,C4-1771,,,,"Listed in NAFDAC Greenbook"
Azglo Tablets,B4-0387,,,,"Listed in NAFDAC Greenbook"
Losartan Potassium USP 50 mg Tablet,C4-1773,,,,"Listed in NAFDAC Greenbook"
Ornizole Plus Tablet,B4-0176,,,,"Listed in NAFDAC Greenbook"
Strozole Capsules,B4-0568,,,,"Listed in NAFDAC Greenbook"
Oracip-500 Tablet,A11-100818,,,,"Listed in NAFDAC Greenbook"
Gol Artemether & Lumefantrine 80/480 mg Tablet,A11-100801,,,,"Listed in NAFDAC Greenbook"
Paragol-500 Tablet,A11-100860,,Global Organics Ltd,,"Listed in NAFDAC Greenbook"
Golvit C Chewable Tablets,A11-100918,,,,"Listed in NAFDAC Greenbook"
